DATE,TOTAL_ENERGY,INDUSTRY_ENERGY,RESIDENTIAL_ENERGY,MARKET_ENERGY,OTHER_ENERGY,IPL,UIC,GDP
2004-01-01,26978358.020000007,12008851.659999996,6780680.4799999995,4244836.92,3943988.9599999995,76.8,78.8,144558.6
2004-02-01,26508170.77,12141416.570000004,6429238.2799999975,4147274.8199999994,3790241.099999999,74.0,79.0,142861.3
2004-03-01,27284329.409999996,12608412.95,6600338.159999999,4203862.840000001,3871715.46,86.9,81.2,157363.5
2004-04-01,28046182.351,12887290.731000004,6809006.55,4447074.75,3902810.3200000008,82.2,81.0,156953.9
2004-05-01,27244506.479999993,12832711.92,6477341.35,4105720.09,3828733.12,86.3,81.6,159498.9
2004-06-01,27082961.479999997,13107635.620000001,6291091.439999999,3840000.5699999994,3844233.849999999,86.1,82.3,165342.2
2004-07-01,27346004.67,13306806.950000003,6292471.02,3887234.15,3859492.5500000003,90.1,82.9,171370.9
2004-08-01,27656857.789999995,13592340.779999997,6304477.139999999,3867267.520000001,3892772.35,92.1,83.5,169178.9
2004-09-01,28232451.24000001,13460814.76,6604390.050000001,4121321.2899999996,4045925.1400000006,92.1,83.7,164702.5
2004-10-01,28556120.939999994,13534732.69,6606513.999999999,4187989.8299999996,4226884.420000001,93.5,83.8,170536.5
2004-11-01,28367124.049999993,13447776.849999998,6631190.279999998,4233168.600000001,4054988.3199999994,91.8,82.9,176921.5
2004-12-01,28562106.43,13391883.9,6643371.329999998,4400136.59,4126714.6100000003,84.7,81.2,178462.4
2005-01-01,28375437.441,12650753.121000003,7118537.829999999,4492543.969999999,4113602.5200000005,81.0,81.0,163540.1
2005-02-01,27838480.970000003,12746539.930000002,6758333.180000001,4365606.140000001,3968001.7199999997,76.4,81.1,160701.6
2005-03-01,28598631.508999996,13065261.409000004,6865215.669999999,4552519.799999999,4115634.63,88.0,82.6,175468.7
2005-04-01,29355501.910000008,13373988.88,7131738.16,4687079.82,4162695.0500000007,87.0,81.9,177179.0
2005-05-01,28482150.609999996,13292319.640000002,6718147.449999998,4377603.69,4094079.829999999,91.1,82.1,177496.7
2005-06-01,28326181.920000013,13140406.11,6781275.739999998,4297519.24,4106980.830000001,91.4,82.4,180881.8
2005-07-01,28322317.11999999,13430445.96,6644820.5,4147256.9299999992,4099793.7299999995,90.5,81.9,184073.7
2005-08-01,28764354.809000008,13754712.569000002,6704674.960000003,4141719.4699999997,4163247.8099999996,95.6,82.7,187246.6
2005-09-01,29335128.080000013,13700582.889999997,6949354.66,4361233.4799999995,4323957.05,92.0,81.8,181538.9
2005-10-01,29145312.05000001,13512368.210000003,6917987.29,4412144.14,4302812.409999999,93.7,82.6,189183.0
2005-11-01,29287617.219999995,13445263.860000001,6976441.220000001,4536866.719999999,4329045.42,92.4,82.7,194794.5
2005-12-01,29505146.070000004,13549853.969999999,7077729.79,4662468.749999999,4215093.56,86.6,80.3,198480.0
2006-01-01,28880910.62,12851400.65,7167632.08,4642995.45,4218882.4399999995,83.7,79.4,185564.8
2006-02-01,29383486.499999993,13044331.430000002,7131815.549999998,4825669.699999999,4381669.819999999,80.2,80.3,178482.2
2006-03-01,29897827.73,13382327.230000002,7408516.95,4875070.62,4231912.93,92.4,81.2,190223.3
2006-04-01,29887953.009999998,13531807.800000003,7229825.780000002,4833693.8999999985,4292625.529999999,85.7,80.1,185030.6
2006-05-01,28925038.559999995,13406753.94,6933355.68,4418608.750000002,4166320.190000001,95.4,82.8,197874.3
2006-06-01,29068797.599999994,13568688.31,6963592.809999999,4319585.250000002,4216931.230000001,91.1,82.2,199071.9
2006-07-01,29113809.229999993,13696551.079999996,6892915.389999999,4230514.51,4293828.250000001,93.8,81.9,206974.4
2006-08-01,29886236.06,14164040.259999998,6939971.699999999,4408225.55,4373998.550000001,98.6,83.0,209818.0
2006-09-01,29916630.53900001,13825482.349000001,7128370.580000001,4512013.980000001,4450763.630000001,93.2,82.9,201055.4
2006-10-01,30143525.320000004,13952616.28,7182235.960000001,4581791.06,4426882.02,97.5,83.2,214271.7
2006-11-01,30531121.359999992,13989838.229999999,7438708.479999999,4768229.36,4334345.29,95.9,83.1,219724.2
2006-12-01,30493979.03000001,13766563.270000001,7366884.799999999,4952341.150000001,4408189.81,87.0,80.6,221359.3
2007-01-01,30699704,13592121,7710353,4941580,4455650,87.0,80.3,211130.7
2007-02-01,30324669,13683634,7392941,4923943,4324151,82.6,80.7,202704.1
2007-03-01,31312900,14276498,7594317,5099470,4342615,96.4,82.6,217588.9
2007-04-01,32030744,14511123,7728826,5287341,4503454,90.6,81.6,215128.8
2007-05-01,31382917,14557756,7491488,4864118,4469555,99.9,83.4,226537.9
2007-06-01,30766760,14582312,7204161,4587140,4393147,96.9,82.8,228988.6
2007-07-01,30500299,14569203,7071277,4486888,4372931,99.8,83.1,233824.1
2007-08-01,31181133,14860003,7344516,4520225,4456389,104.9,84.4,235019.1
2007-09-01,31735736,14866278,7449312,4787183,4632963,98.4,83.8,223002.7
2007-10-01,32135735,14952079,7511776,4881812,4790068,107.8,85.0,241939.4
2007-11-01,32654491,15025144,7768281,5105641,4755425,102.4,84.8,241938.4
2007-12-01,32304926,14892623,7618124,5161662,4632517,92.6,82.1,242460.2
2008-01-01,31855946.27,13793348.41,8134240.7,5227521.85,4700835.3100000005,94.8,82.4,237247.7
2008-02-01,31730940.65,13966620.44,7958717,5190004.48,4615598.73,91.1,82.7,232680.4
2008-03-01,32118714.86,14654557.99,7693600.9,5242256.14,4528299.83,97.7,83.2,242124.4
2008-04-01,31952656.29,14525048.65,7754681.1,5206102.0600000005,4466824.48,99.2,83.4,248793.8
2008-05-01,32299963.39,14791423.05,7933880.7,5090516.8,4484142.84,102.5,84.1,254936.9
2008-06-01,31742987.79,14780520.02,7621230.4,4829191.2,4512046.17,103.3,84.1,265791.2
2008-07-01,32150352.03,15154269.379999999,7653505.2,4790578.74,4551998.71,108.5,84.7,278095.6
2008-08-01,33013528.63,15411789.96,7880631.6,4984062.67,4737044.4,106.9,84.4,269235.6
2008-09-01,32964086.69,15180074.2,7815707.9,5104419.98,4863884.61,107.3,85.1,265271.2
2008-10-01,33673777.379999995,15386185.34,8119784.8,5260713.14,4907094.1,108.4,85.0,280522.5
